Year,(semi-) final,Edition,Jury or Televoting,From country,To country,Points
2011,f,2011f,J,Estonia,Denmark,10
2011,f,2011f,J,Estonia,Finland,7
2011,f,2011f,J,Estonia,Georgia,3
2011,f,2011f,J,Estonia,Italy,6
2011,f,2011f,J,Estonia,Romania,1
2011,f,2011f,J,Estonia,Russia,5
2011,f,2011f,J,Estonia,Slovenia,2
2011,f,2011f,J,Estonia,Spain,4
2011,f,2011f,J,Estonia,Sweden,12
2011,f,2011f,J,North Macedonia,Austria,2
2011,f,2011f,J,North Macedonia,Bosnia & Herzegovina,12
2011,f,2011f,J,North Macedonia,Greece,3
2011,f,2011f,J,North Macedonia,Italy,1
2011,f,2011f,J,North Macedonia,Serbia,8
2011,f,2011f,J,North Macedonia,Slovenia,10
2011,f,2011f,J,North Macedonia,Spain,4
2011,f,2011f,J,North Macedonia,Sweden,6
2011,f,2011f,J,North Macedonia,Ukraine,7
2011,f,2011f,J,North Macedonia,United Kingdom,5
2011,f,2011f,J,Finland,Austria,1
2011,f,2011f,J,Finland,Azerbaijan,5
2011,f,2011f,J,Finland,Estonia,7
2011,f,2011f,J,Finland,France,4
2011,f,2011f,J,Finland,Hungary,12
2011,f,2011f,J,Finland,Iceland,8
2011,f,2011f,J,Finland,Ireland,10
2011,f,2011f,J,Finland,Italy,3
2011,f,2011f,J,Finland,Serbia,2
2011,f,2011f,J,Finland,Sweden,6
2011,f,2011f,J,France,Azerbaijan,6
2011,f,2011f,J,France,Bosnia & Herzegovina,5
2011,f,2011f,J,France,Denmark,7
2011,f,2011f,J,France,Germany,3
2011,f,2011f,J,France,Hungary,2
2011,f,2011f,J,France,Italy,8
2011,f,2011f,J,France,Moldova,4
2011,f,2011f,J,France,Spain,12
2011,f,2011f,J,France,Sweden,10
2011,f,2011f,J,France,United Kingdom,1
2011,f,2011f,J,Georgia,Austria,3
2011,f,2011f,J,Georgia,Azerbaijan,8
2011,f,2011f,J,Georgia,France,2
2011,f,2011f,J,Georgia,Greece,6
2011,f,2011f,J,Georgia,Italy,7
2011,f,2011f,J,Georgia,Lithuania,12
2011,f,2011f,J,Georgia,Moldova,5
2011,f,2011f,J,Georgia,Russia,4
2011,f,2011f,J,Georgia,Sweden,1
2011,f,2011f,J,Georgia,Ukraine,10
2011,f,2011f,J,Germany,Austria,12
2011,f,2011f,J,Germany,Bosnia & Herzegovina,7
2011,f,2011f,J,Germany,Denmark,6
2011,f,2011f,J,Germany,Finland,2
2011,f,2011f,J,Germany,Greece,10
2011,f,2011f,J,Germany,Ireland,8
2011,f,2011f,J,Germany,Italy,3
2011,f,2011f,J,Germany,Moldova,4
2011,f,2011f,J,Germany,Russia,5
2011,f,2011f,J,Germany,Slovenia,1
2011,f,2011f,J,Greece,Azerbaijan,5
2011,f,2011f,J,Greece,Bosnia & Herzegovina,3
2011,f,2011f,J,Greece,France,12
2011,f,2011f,J,Greece,Georgia,8
2011,f,2011f,J,Greece,Germany,4
2011,f,2011f,J,Greece,Italy,10
2011,f,2011f,J,Greece,Russia,1
2011,f,2011f,J,Greece,Sweden,6
2011,f,2011f,J,Greece,Ukraine,7
2011,f,2011f,J,Greece,United Kingdom,2
2011,f,2011f,J,Hungary,Austria,2
2011,f,2011f,J,Hungary,Azerbaijan,7
2011,f,2011f,J,Hungary,Georgia,5
2011,f,2011f,J,Hungary,Greece,8
2011,f,2011f,J,Hungary,Iceland,12
2011,f,2011f,J,Hungary,Italy,4
2011,f,2011f,J,Hungary,Romania,1
2011,f,2011f,J,Hungary,Russia,3
2011,f,2011f,J,Hungary,Slovenia,6
2011,f,2011f,J,Hungary,Sweden,10
2011,f,2011f,J,Iceland,Azerbaijan,8
2011,f,2011f,J,Iceland,Denmark,12
2011,f,2011f,J,Iceland,Finland,10
2011,f,2011f,J,Iceland,Germany,6
2011,f,2011f,J,Iceland,Hungary,5
2011,f,2011f,J,Iceland,Ireland,4
2011,f,2011f,J,Iceland,Italy,3
2011,f,2011f,J,Iceland,Russia,1
2011,f,2011f,J,Iceland,Sweden,7
2011,f,2011f,J,Iceland,United Kingdom,2
2011,f,2011f,J,Ireland,Denmark,12
2011,f,2011f,J,Ireland,Estonia,7
2011,f,2011f,J,Ireland,Finland,3
2011,f,2011f,J,Ireland,Italy,5
2011,f,2011f,J,Ireland,Lithuania,10
2011,f,2011f,J,Ireland,Moldova,8
2011,f,2011f,J,Ireland,Romania,1
2011,f,2011f,J,Ireland,Slovenia,2
2011,f,2011f,J,Ireland,Sweden,4
2011,f,2011f,J,Ireland,United Kingdom,6
2011,f,2011f,J,Israel,Azerbaijan,4
2011,f,2011f,J,Israel,Denmark,10
2011,f,2011f,J,Israel,Estonia,5
2011,f,2011f,J,Israel,Georgia,2
2011,f,2011f,J,Israel,Romania,6
2011,f,2011f,J,Israel,Russia,8
2011,f,2011f,J,Israel,Slovenia,3
2011,f,2011f,J,Israel,Sweden,12
2011,f,2011f,J,Israel,Ukraine,7
2011,f,2011f,J,Israel,United Kingdom,1
2011,f,2011f,J,Italy,Bosnia & Herzegovina,4
2011,f,2011f,J,Italy,France,1
2011,f,2011f,J,Italy,Germany,6
2011,f,2011f,J,Italy,Greece,2
2011,f,2011f,J,Italy,Iceland,5
2011,f,2011f,J,Italy,Moldova,8
2011,f,2011f,J,Italy,Romania,12
2011,f,2011f,J,Italy,Serbia,3
2011,f,2011f,J,Italy,Ukraine,7
2011,f,2011f,J,Italy,United Kingdom,10
2011,f,2011f,J,Latvia,Azerbaijan,2
2011,f,2011f,J,Latvia,Denmark,6
2011,f,2011f,J,Latvia,Estonia,4
2011,f,2011f,J,Latvia,France,1
2011,f,2011f,J,Latvia,Germany,8
2011,f,2011f,J,Latvia,Ireland,10
2011,f,2011f,J,Latvia,Italy,12
2011,f,2011f,J,Latvia,Lithuania,7
2011,f,2011f,J,Latvia,Slovenia,3
2011,f,2011f,J,Latvia,United Kingdom,5
2011,f,2011f,J,Lithuania,Azerbaijan,8
2011,f,2011f,J,Lithuania,Estonia,7
2011,f,2011f,J,Lithuania,Finland,1
2011,f,2011f,J,Lithuania,Georgia,12
2011,f,2011f,J,Lithuania,Germany,2
2011,f,2011f,J,Lithuania,Italy,10
2011,f,2011f,J,Lithuania,Moldova,4
2011,f,2011f,J,Lithuania,Russia,6
2011,f,2011f,J,Lithuania,Serbia,5
2011,f,2011f,J,Lithuania,United Kingdom,3
2011,f,2011f,J,Malta,Austria,2
2011,f,2011f,J,Malta,Azerbaijan,12
2011,f,2011f,J,Malta,Denmark,5
2011,f,2011f,J,Malta,France,1
2011,f,2011f,J,Malta,Ireland,8
2011,f,2011f,J,Malta,Italy,10
2011,f,2011f,J,Malta,Slovenia,3
2011,f,2011f,J,Malta,Sweden,6
2011,f,2011f,J,Malta,Ukraine,4
2011,f,2011f,J,Malta,United Kingdom,7
2011,f,2011f,J,Moldova,Azerbaijan,10
2011,f,2011f,J,Moldova,Estonia,6
2011,f,2011f,J,Moldova,France,2
2011,f,2011f,J,Moldova,Georgia,7
2011,f,2011f,J,Moldova,Greece,1
2011,f,2011f,J,Moldova,Romania,12
2011,f,2011f,J,Moldova,Russia,5
2011,f,2011f,J,Moldova,Sweden,3
2011,f,2011f,J,Moldova,Ukraine,8
2011,f,2011f,J,Moldova,United Kingdom,4
2011,f,2011f,J,Norway,Bosnia & Herzegovina,4
2011,f,2011f,J,Norway,Denmark,7
2011,f,2011f,J,Norway,Estonia,2
2011,f,2011f,J,Norway,Finland,12
2011,f,2011f,J,Norway,Germany,5
2011,f,2011f,J,Norway,Iceland,8
2011,f,2011f,J,Norway,Lithuania,3
2011,f,2011f,J,Norway,Serbia,6
2011,f,2011f,J,Norway,Sweden,10
2011,f,2011f,J,Norway,United Kingdom,1
2011,f,2011f,J,Poland,Azerbaijan,8
2011,f,2011f,J,Poland,Denmark,3
2011,f,2011f,J,Poland,Finland,5
2011,f,2011f,J,Poland,Georgia,7
2011,f,2011f,J,Poland,Germany,4
2011,f,2011f,J,Poland,Ireland,1
2011,f,2011f,J,Poland,Italy,10
2011,f,2011f,J,Poland,Lithuania,12
2011,f,2011f,J,Poland,Serbia,6
2011,f,2011f,J,Poland,Ukraine,2
2011,f,2011f,J,Portugal,Azerbaijan,8
2011,f,2011f,J,Portugal,France,2
2011,f,2011f,J,Portugal,Iceland,4
2011,f,2011f,J,Portugal,Ireland,6
2011,f,2011f,J,Portugal,Italy,10
2011,f,2011f,J,Portugal,Moldova,5
2011,f,2011f,J,Portugal,Slovenia,1
2011,f,2011f,J,Portugal,Spain,12
2011,f,2011f,J,Portugal,Ukraine,7
2011,f,2011f,J,Portugal,United Kingdom,3
2011,f,2011f,J,Romania,Azerbaijan,10
2011,f,2011f,J,Romania,Greece,8
2011,f,2011f,J,Romania,Hungary,7
2011,f,2011f,J,Romania,Italy,6
2011,f,2011f,J,Romania,Lithuania,1
2011,f,2011f,J,Romania,Moldova,12
2011,f,2011f,J,Romania,Slovenia,4
2011,f,2011f,J,Romania,Spain,5
2011,f,2011f,J,Romania,Sweden,3
2011,f,2011f,J,Romania,Ukraine,2
2011,f,2011f,J,Russia,Azerbaijan,12
2011,f,2011f,J,Russia,France,3
2011,f,2011f,J,Russia,Georgia,6
2011,f,2011f,J,Russia,Greece,8
2011,f,2011f,J,Russia,Lithuania,2
2011,f,2011f,J,Russia,Moldova,7
2011,f,2011f,J,Russia,Slovenia,5
2011,f,2011f,J,Russia,Sweden,1
2011,f,2011f,J,Russia,Ukraine,10
2011,f,2011f,J,Russia,United Kingdom,4
2011,f,2011f,J,San Marino,Azerbaijan,10
