From country,Voting Type,Points,To country,Year,Edition
Denmark, Jury,10, Albania,2021,sf2
Denmark, Jury,8, Iceland,2021,sf2
Denmark, Jury,7, Finland,2021,sf2
Denmark, Jury,6, Bulgaria,2021,sf2
Denmark, Jury,5, San Marino,2021,sf2
Denmark, Jury,4, Portugal,2021,sf2
Denmark, Jury,3, Austria,2021,sf2
Denmark, Jury,2, Greece,2021,sf2
Denmark, Jury,1, Poland,2021,sf2
Denmark, Televoter,12, Iceland,2021,sf2
Denmark, Televoter,10, Finland,2021,sf2
Denmark, Televoter,8, Portugal,2021,sf2
Denmark, Televoter,7, Switzerland,2021,sf2
Denmark, Televoter,6, Estonia,2021,sf2
Denmark, Televoter,5, Bulgaria,2021,sf2
Denmark, Televoter,4, Austria,2021,sf2
Denmark, Televoter,3, Greece,2021,sf2
Denmark, Televoter,2, San Marino,2021,sf2
Denmark, Televoter,1, Georgia,2021,sf2
Estonia, Jury,12, Switzerland,2021,sf2
Estonia, Jury,10, Bulgaria,2021,sf2
Estonia, Jury,8, Iceland,2021,sf2
Estonia, Jury,7, Finland,2021,sf2
Estonia, Jury,6, Portugal,2021,sf2
Estonia, Jury,5, Serbia,2021,sf2
Estonia, Jury,4, Austria,2021,sf2
Estonia, Jury,3, Greece,2021,sf2
Estonia, Jury,2, Albania,2021,sf2
Estonia, Jury,1, San Marino,2021,sf2
Estonia, Televoter,12, Moldova,2021,sf2
Estonia, Televoter,10, Finland,2021,sf2
Estonia, Televoter,8, Denmark,2021,sf2
Estonia, Televoter,7, Iceland,2021,sf2
Estonia, Televoter,6, Switzerland,2021,sf2
Estonia, Televoter,5, Portugal,2021,sf2
Estonia, Televoter,4, San Marino,2021,sf2
Estonia, Televoter,3, Georgia,2021,sf2
Estonia, Televoter,2, Bulgaria,2021,sf2
Estonia, Televoter,1, Latvia,2021,sf2
Finland, Jury,12, Bulgaria,2021,sf2
Finland, Jury,10, Switzerland,2021,sf2
Finland, Jury,8, Iceland,2021,sf2
Finland, Jury,7, Portugal,2021,sf2
Finland, Jury,6, Greece,2021,sf2
Finland, Jury,5, Austria,2021,sf2
Finland, Jury,4, Albania,2021,sf2
Finland, Jury,3, Serbia,2021,sf2
Finland, Jury,2, San Marino,2021,sf2
Finland, Jury,1, Denmark,2021,sf2
Finland, Televoter,12, Iceland,2021,sf2
Finland, Televoter,10, Switzerland,2021,sf2
Finland, Televoter,8, Denmark,2021,sf2
Finland, Televoter,7, Estonia,2021,sf2
Finland, Televoter,6, Portugal,2021,sf2
Finland, Televoter,5, Moldova,2021,sf2
Finland, Televoter,4, Bulgaria,2021,sf2
Finland, Televoter,3, Albania,2021,sf2
Finland, Televoter,2, Greece,2021,sf2
Finland, Televoter,1, San Marino,2021,sf2
Georgia, Jury,12, Switzerland,2021,sf2
Georgia, Jury,10, Portugal,2021,sf2
Georgia, Jury,8, Bulgaria,2021,sf2
Georgia, Jury,7, Iceland,2021,sf2
Georgia, Jury,6, Czechia,2021,sf2
Georgia, Jury,5, Austria,2021,sf2
Georgia, Jury,4, Finland,2021,sf2
Georgia, Jury,3, Estonia,2021,sf2
Georgia, Jury,2, Serbia,2021,sf2
Georgia, Jury,1, San Marino,2021,sf2
Georgia, Televoter,12, San Marino,2021,sf2
Georgia, Televoter,10, Greece,2021,sf2
Georgia, Televoter,8, Bulgaria,2021,sf2
Georgia, Televoter,7, Iceland,2021,sf2
Georgia, Televoter,6, Finland,2021,sf2
Georgia, Televoter,5, Latvia,2021,sf2
Georgia, Televoter,4, Denmark,2021,sf2
Georgia, Televoter,3, Switzerland,2021,sf2
Georgia, Televoter,2, Albania,2021,sf2
Georgia, Televoter,1, Serbia,2021,sf2
Greece, Jury,12, Moldova,2021,sf2
Greece, Jury,10, San Marino,2021,sf2
Greece, Jury,8, Bulgaria,2021,sf2
Greece, Jury,7, Iceland,2021,sf2
Greece, Jury,6, Albania,2021,sf2
Greece, Jury,5, Portugal,2021,sf2
Greece, Jury,4, Czechia,2021,sf2
Greece, Jury,3, Serbia,2021,sf2
Greece, Jury,2, Poland,2021,sf2
Greece, Jury,1, Estonia,2021,sf2
Greece, Televoter,12, Moldova,2021,sf2
Greece, Televoter,10, Albania,2021,sf2
Greece, Televoter,8, Finland,2021,sf2
Greece, Televoter,7, Switzerland,2021,sf2
Greece, Televoter,6, Bulgaria,2021,sf2
Greece, Televoter,5, Iceland,2021,sf2
Greece, Televoter,4, Serbia,2021,sf2
Greece, Televoter,3, Portugal,2021,sf2
Greece, Televoter,2, San Marino,2021,sf2
Greece, Televoter,1, Denmark,2021,sf2
Iceland, Jury,12, Switzerland,2021,sf2
Iceland, Jury,10, Bulgaria,2021,sf2
Iceland, Jury,8, Portugal,2021,sf2
Iceland, Jury,7, Greece,2021,sf2
Iceland, Jury,6, Finland,2021,sf2
Iceland, Jury,5, Albania,2021,sf2
Iceland, Jury,4, Austria,2021,sf2
Iceland, Jury,3, San Marino,2021,sf2
Iceland, Jury,2, Serbia,2021,sf2
Iceland, Jury,1, Denmark,2021,sf2
Iceland, Televoter,12, Denmark,2021,sf2
Iceland, Televoter,10, Finland,2021,sf2
Iceland, Televoter,8, Portugal,2021,sf2
Iceland, Televoter,7, Switzerland,2021,sf2
Iceland, Televoter,6, Moldova,2021,sf2
Iceland, Televoter,5, Greece,2021,sf2
